Fold,Epoch,Validation Accuracy,Model,Validation Positive Parity,Training Accuracy,Validation Accuracy Parity,Validation Counterfactual Invariance,Validation Recall Parity,Validation TNR Parity
0,3,0.66,Massage_MLPClassifier_8,4.197994987468672,0.68875,0.1396027381887554,0.995,4.21875,0.2145833333333333
0,4,0.695,Massage_MLPClassifier_8,0.0,0.70125,0.0194357366771159,1.0,0.0,0.0
0,0,0.715,MLPClassifier_9,0.0,0.69625,0.1088571765538388,1.0,0.0,0.0
0,1,0.59,MLPClassifier_9,1.053473263368316,0.59,0.0098176718092566,0.98,1.0514285714285714,0.0321428571428571
0,2,0.655,MLPClassifier_9,0.0,0.71125,0.0586894586894586,1.0,0.0,0.0
0,3,0.695,MLPClassifier_9,1.0,0.7025,0.2146784872629333,1.0,1.0,0.03125
0,4,0.615,MLPClassifier_9,1.206896551724138,0.61,0.0206896551724138,0.995,1.3333333333333333,0.1666666666666666
0,0,0.31,RPT_MLPClassifier_9,1.012750455373406,0.31,0.0964736407595235,1.0,1.0,0.0
0,1,0.745,RPT_MLPClassifier_9,0.0,0.68875,0.0044413277232351,1.0,0.0,0.0
0,2,0.655,RPT_MLPClassifier_9,0.0,0.71125,0.0586894586894586,1.0,0.0,0.0
0,3,0.69,RPT_MLPClassifier_9,0.0,0.7025,0.2071596902704522,1.0,0.0,0.0
0,4,0.54,RPT_MLPClassifier_9,1.1270935960591133,0.52625,0.0576802507836989,0.935,1.0158730158730158,0.0138888888888888
0,0,0.33,Massage_MLPClassifier_9,1.0088849956200725,0.32125,0.114872036796792,1.0,1.0294117647058825,0.0285714285714285
0,1,0.745,Massage_MLPClassifier_9,0.0,0.68875,0.0044413277232351,1.0,0.0,0.0
0,2,0.655,Massage_MLPClassifier_9,0.0,0.71125,0.0586894586894586,1.0,0.0,0.0
0,3,0.55,Massage_MLPClassifier_9,1.1485714285714284,0.65125,0.1088542251150263,0.99,1.59375,0.1979166666666666
0,4,0.355,Massage_MLPClassifier_9,1.016551724137931,0.3625,0.0131661442006269,0.995,1.0192592592592593,0.0180555555555556
0,0,0.715,MLPClassifier_10,0.0,0.69625,0.1088571765538388,1.0,0.0,0.0
0,1,0.745,MLPClassifier_10,0.0,0.68875,0.0044413277232351,1.0,0.0,0.0
0,2,0.655,MLPClassifier_10,0.0,0.71125,0.0586894586894586,1.0,0.0,0.0
0,3,0.335,MLPClassifier_10,1.0395035207065282,0.3375,0.2144540455616653,1.0,1.0344827586206895,0.0333333333333333
0,4,0.315,MLPClassifier_10,1.013986013986014,0.32625,0.0332288401253918,1.0,1.0,0.0
0,0,0.715,RPT_MLPClassifier_10,0.0,0.69625,0.1088571765538388,1.0,0.0,0.0
0,1,0.745,RPT_MLPClassifier_10,0.0,0.68875,0.0044413277232351,1.0,0.0,0.0
0,2,0.655,RPT_MLPClassifier_10,0.0,0.71125,0.0586894586894586,1.0,0.0,0.0
0,3,0.69,RPT_MLPClassifier_10,0.0,0.7075,0.2071596902704522,1.0,0.0,0.0
0,4,0.72,RPT_MLPClassifier_10,1.612068965517241,0.74,0.0150470219435736,0.95,1.9555555555555555,0.1194444444444444
0,0,0.715,Massage_MLPClassifier_10,0.0,0.69625,0.1088571765538388,1.0,0.0,0.0
0,1,0.745,Massage_MLPClassifier_10,0.0,0.68875,0.0044413277232351,1.0,0.0,0.0
0,2,0.5,Massage_MLPClassifier_10,1.074935400516796,0.46125,0.1025641025641025,0.975,1.035294117647059,0.0272727272727273
0,3,0.34,Massage_MLPClassifier_10,1.0411027568922304,0.38375,0.2742677589496128,1.0,1.1047619047619048,0.0916666666666666
0,4,0.695,Massage_MLPClassifier_10,0.0,0.70125,0.0194357366771159,1.0,0.0,0.0
