Fold,Training Accuracy,Model,Validation Accuracy,Validation Recall Parity,Validation Positive Parity,Validation Accuracy Parity,Validation TNR Parity,Validation Counterfactual Invariance
3,1.0,RandomForestClassifier_200,0.8577892695539754,1.207823846334036,2.3172410631046443,0.06151058706721624,0.10749509293139792,0.9529734970911441
4,0.9999595992243051,RandomForestClassifier_200,0.8611829347123465,1.0192041878657767,2.323833361439759,0.08770952073722171,0.012222055850864777,0.9487718164188752
0,0.896210407239819,XGBClassifier_50,0.8670006464124111,1.4041234831999412,2.6134021307150253,0.04602439814496695,0.18958879458762667,0.9705882352941176
1,0.893947963800905,XGBClassifier_50,0.8758888170652877,1.1633569739952718,2.534001431639227,0.0636125029825817,0.09271612037569488,0.9712346477052359
2,0.8944731738849386,XGBClassifier_50,0.8726567550096962,1.1353587436389985,2.3633472477138726,0.062219698914120936,0.08007136947659066,0.9713962508080155
3,0.8922915319974144,XGBClassifier_50,0.8771816418875242,1.2011156008432888,2.3054484877198878,0.050282784569063765,0.1109603314997456,0.9783451842275371
4,0.8941499676793795,XGBClassifier_50,0.8695862960568843,1.043503396444573,2.2932062331176533,0.08522920468939288,0.028168750467919446,0.982546864899806
0,0.9122495151906916,XGBClassifier_100,0.8658694246929541,1.4175672186773873,2.7195978018612723,0.04902234930660643,0.19589573221902123,0.964770523594053
1,0.9097850678733032,XGBClassifier_100,0.8713639301874596,1.18917142362913,2.4290595751002826,0.05939513242662853,0.1048111941728963,0.9592760180995475
2,0.9110374919198448,XGBClassifier_100,0.870071105365223,1.2887856008875118,2.622912274432732,0.055724800601724245,0.15049390468785828,0.9694570135746606
3,0.9057449903038138,XGBClassifier_100,0.8737879767291532,1.2907003982197236,2.4494075585718127,0.047127769823317456,0.15036227494123633,0.9701034259857789
4,0.9089770523594053,XGBClassifier_100,0.8710407239819005,1.0061054892871275,2.2963965589845396,0.07670067756811871,0.004042823987422284,0.9667097608274079
0,0.9353587588881707,XGBClassifier_200,0.8623141564318035,1.3410126138752627,2.6544372489548325,0.05646099283818107,0.1684012908025989,0.9634776987718164
1,0.9330963154492566,XGBClassifier_200,0.8673238526179703,1.1277585353785256,2.373918136266025,0.0675602481507993,0.07423806785508913,0.9545895281189399
2,0.9350355526826115,XGBClassifier_200,0.8668390433096316,1.2733825008380826,2.568083980299419,0.05742742894353303,0.14631739481474837,0.9618616677440207
3,0.9297430510665805,XGBClassifier_200,0.8702327084680026,1.2879831342234715,2.31540451447915,0.044153097728608204,0.1489567935638646,0.9675177763413058
4,0.9351971557853911,XGBClassifier_200,0.8687782805429864,1.0033181134964977,2.367859858402786,0.08267943309771442,0.0021898629931871305,0.9652553329023917
0,0.9136635423400129,Pareto,0.866677440206852,1.3739421055468708,2.6391710917409745,0.049856188655802214,0.18004619896701185,0.9650937297996122
1,0.913986748545572,Pareto,0.8749191984486102,1.1596082404593042,2.4822097772537792,0.06284061083273684,0.09058846080122673,0.9663865546218487
2,0.9119667097608274,Pareto,0.8708791208791209,1.290143646831545,2.563200874418018,0.05296075036572345,0.1512016187713685,0.9709114414996768
3,0.9090578539107951,Pareto,0.8754040077569489,1.2798313422347152,2.4878760554143784,0.04879544852170914,0.1447403494317493,0.9730122818358112
4,0.9388332255979315,Pareto,0.8682934712346477,1.0193626462283178,2.316176579359233,0.08322085161422776,0.012577674627536117,0.9715578539107951
0,0.9353587588881707,Regularized_Selection_0.2,0.8623141564318035,1.3410126138752627,2.6544372489548325,0.05646099283818107,0.1684012908025989,0.9634776987718164
1,0.9097850678733032,Regularized_Selection_0.2,0.8713639301874596,1.18917142362913,2.4290595751002826,0.05939513242662853,0.1048111941728963,0.9592760180995475
2,0.9350355526826115,Regularized_Selection_0.2,0.8668390433096316,1.2733825008380826,2.568083980299419,0.05742742894353303,0.14631739481474837,0.9618616677440207
3,0.9057449903038138,Regularized_Selection_0.2,0.8737879767291532,1.2907003982197236,2.4494075585718127,0.047127769823317456,0.15036227494123633,0.9701034259857789
4,0.9997575953458306,Regularized_Selection_0.2,0.8535875888817065,1.0726019455002256,2.4045864571958195,0.08238320101912755,0.04218761697986084,0.9469941822882999
0,0.9353587588881707,Regularized_Selection_0.5,0.8623141564318035,1.3410126138752627,2.6544372489548325,0.05646099283818107,0.1684012908025989,0.9634776987718164
1,0.9097850678733032,Regularized_Selection_0.5,0.8713639301874596,1.18917142362913,2.4290595751002826,0.05939513242662853,0.1048111941728963,0.9592760180995475
