Fold,Training Accuracy,Model,Validation Accuracy,Validation Recall Parity,Validation Positive Parity,Validation Accuracy Parity,Validation TNR Parity,Validation Counterfactual Invariance
3,0.9998914262965509,Massage_RandomForestClassifier_50_0.2,0.6127117417113074,1.8451186340529142,2.055826228290718,0.04173766470675344,0.35565768869233977,0.5698566671492689
4,0.9999638048356739,Massage_RandomForestClassifier_50_0.2,0.6166425470332851,1.6682242990654206,1.9851581878739133,0.012419249382290554,0.3134879427714319,0.5523878437047757
0,0.9233469653649886,Massage_RandomForestClassifier_50_0.5,0.6112639351382655,1.6065607665642558,1.7964187969924814,0.033367103433130874,0.28696036265708064,0.6183581873461705
1,0.999782852593102,Massage_RandomForestClassifier_50_0.5,0.6088026639640944,1.775140618071851,1.9195398556912304,0.0508991783268713,0.33744291890825057,0.5837556102504705
2,0.9999638087655169,Massage_RandomForestClassifier_50_0.5,0.6213985811495584,1.7185264759933747,1.9524555481239874,0.03571791735946017,0.32361727569824233,0.5789778485594325
3,0.9998914262965509,Massage_RandomForestClassifier_50_0.5,0.617923845374258,1.8160013526752634,2.1020061138057815,0.029350077464709745,0.3517390917558337,0.5715940350369191
4,0.9998552193426958,Massage_RandomForestClassifier_50_0.5,0.6214182344428365,1.7242990654205608,2.028965612102296,0.023403648610589634,0.33383331410330375,0.5691751085383502
0,0.894430169013065,Massage_RandomForestClassifier_50_0.7,0.6063413927899233,1.5276923766552748,1.7417807622504535,0.02081614327892045,0.2608882714181347,0.6187925293180832
1,0.999927617531034,Massage_RandomForestClassifier_50_0.7,0.6150282322281743,1.7022202202439518,1.8818791456723476,0.04426992660611817,0.3212048326037003,0.5701462284638772
2,0.9998190438275849,Massage_RandomForestClassifier_50_0.7,0.617923845374258,1.7520815819852569,1.9647515871004633,0.040179736990367365,0.33369952021196464,0.5702910091211814
3,0.999782852593102,Massage_RandomForestClassifier_50_0.7,0.6145938902562618,1.8837714944745374,2.068394412357935,0.05050594682290288,0.3674106212984032,0.5753583321268279
4,0.9999276096713479,Massage_RandomForestClassifier_50_0.7,0.6178002894356006,1.7202168730617498,2.017457055053583,0.021525585279265735,0.3282469905003654,0.5622286541244573
0,1.0,RPT_RandomForestClassifier_100,0.6255972202113798,1.603766075129356,1.883279895852706,0.026569748432276774,0.30255990536190824,0.605327928188794
1,1.0,RPT_RandomForestClassifier_100,0.6171999420877371,1.682423764767039,1.8504553139072717,0.05012540498433182,0.32363103881170835,0.5949037208628927
2,1.0,RPT_RandomForestClassifier_100,0.6292167366439844,1.6573206152735018,1.9305155790312771,0.033475131082760234,0.31950032135924944,0.5914289850875923
3,1.0,RPT_RandomForestClassifier_100,0.6237150716664254,1.7833804000554003,2.0395212351206466,0.04051141401030567,0.357682368564621,0.5769509193571739
4,1.0,RPT_RandomForestClassifier_100,0.6244573082489147,1.6432344575375866,1.9509900678402996,0.019716001656407856,0.3196319372331834,0.576410998552822
0,0.96883934711013,Massage_RandomForestClassifier_100_0.2,0.6170551614304329,1.7698958322628824,1.9698812483469983,0.04448468877339384,0.3435185439917345,0.589546836542638
1,1.0,Massage_RandomForestClassifier_100_0.2,0.6083683219921818,1.7548629172963541,1.8870409112040911,0.05434766786071887,0.33655297259059325,0.5882438106269002
2,0.9999638087655169,Massage_RandomForestClassifier_100_0.2,0.6245837556102505,1.7423746348084452,1.97607070469309,0.04236196312996776,0.33932396908747214,0.5789778485594325
3,1.0,Massage_RandomForestClassifier_100_0.2,0.6215433618068626,1.7592885166402563,2.0109400257988668,0.03665973408744949,0.34357999271872675,0.5815839003909078
4,1.0,Massage_RandomForestClassifier_100_0.2,0.6243125904486252,1.756925527010603,2.066556256013177,0.027606212174363542,0.34731356486288983,0.5635311143270623
0,0.9228040968477434,Massage_RandomForestClassifier_100_0.5,0.6182134066888664,1.62833228769063,1.8347796482883783,0.03740516799648641,0.30078238435414695,0.5933111336325467
1,1.0,Massage_RandomForestClassifier_100_0.5,0.6121326190820906,1.7684257780114452,1.9195610602500037,0.05367284150973828,0.34340794495779625,0.5862168814246417
2,1.0,Massage_RandomForestClassifier_100_0.5,0.6213985811495584,1.7396164353703756,1.9674411003389793,0.0418193757103793,0.3388877981462925,0.5727522802953525
3,1.0,Massage_RandomForestClassifier_100_0.5,0.6206746778630375,1.8808932088879073,2.1262774355081717,0.044733115032484116,0.3761117071656233,0.5760822354133488
4,1.0,Massage_RandomForestClassifier_100_0.5,0.6198263386396526,1.7403294078202927,2.0556544946963102,0.021767266875192703,0.33969847313564866,0.5706222865412446
0,0.8948282725923781,Massage_RandomForestClassifier_100_0.7,0.6174895034023454,1.5577694258675856,1.7843232298591205,0.028262938291486628,0.27763410883991924,0.6072100767337484
1,1.0,Massage_RandomForestClassifier_100_0.7,0.6089474446213986,1.8103098258140178,1.9713541806181325,0.05042903258169029,0.3519011125774862,0.5765165773852613
2,1.0,Massage_RandomForestClassifier_100_0.7,0.6205298972057333,1.7174527768351997,1.950513595388303,0.038528221809108865,0.33113205084701525,0.5836108295931663
3,1.0,Massage_RandomForestClassifier_100_0.7,0.6247285362675546,1.7852920601608955,2.0864587970698594,0.030647374532108862,0.3529402517577058,0.5801360938178659
4,1.0,Massage_RandomForestClassifier_100_0.7,0.6191027496382056,1.7475801068090786,2.0423058065419903,0.02679188000635757,0.3445636706280527,0.5694645441389291
0,1.0,RPT_RandomForestClassifier_200,0.6260315621832924,1.6311672627329408,1.9222692601067886,0.025178927848132138,0.30992293842716145,0.6063413927899233
1,1.0,RPT_RandomForestClassifier_200,0.6131460836832199,1.720185739438669,1.870186536982854,0.05445792589008036,0.3354808439235861,0.5844795135369915
2,1.0,RPT_RandomForestClassifier_200,0.6228463877226003,1.7381547693461683,1.9520978715307598,0.04798257202926515,0.3439784766852825,0.5746344288403069
