Fold,Validation Accuracy,Model,Validation Positive Parity,Training Accuracy,Validation Accuracy Parity,Validation Counterfactual Invariance,Validation Recall Parity,Validation TNR Parity
2,0.6009845084696684,RPT_RandomForestClassifier_0,1.3141636276058577,0.9998914262965508,0.0270440154222555,0.6374692341103229,1.2116891619499135,0.1229389491412662
3,0.6189373099753873,RPT_RandomForestClassifier_0,1.966916296182738,0.9997466613586188,0.0429186556988256,0.5750687708122195,1.745672428116958,0.3471092901968315
4,0.5978292329956585,RPT_RandomForestClassifier_0,1.409558831235524,0.999963804835674,0.0259376973285482,0.6164978292329957,1.2994396191714428,0.1613374122967446
0,0.6176342840596496,Massage_RandomForestClassifier_0,1.9999740054442348,0.999782852593102,0.0366901146927484,0.5811495584189952,1.7635228143852282,0.3399868653438014
1,0.6119878384247864,Massage_RandomForestClassifier_0,2.121982659891973,0.9999638087655168,0.0306401231045925,0.5621832923121471,1.850142100805844,0.3590096331377304
2,0.617923845374258,Massage_RandomForestClassifier_0,1.9805845922260763,0.9998190438275848,0.0335347140653565,0.581004777761691,1.7385124146609643,0.3308600972762063
3,0.6228463877226003,Massage_RandomForestClassifier_0,2.103207046181742,0.9998914262965508,0.027070425576868,0.5694223251773564,1.806392302029583,0.347994049287684
4,0.6047756874095513,Massage_RandomForestClassifier_0,2.065000370168149,0.999891414507022,0.0242561407850939,0.5743849493487699,1.807776402096889,0.3398840598986909
0,0.6128565223686115,RandomForestClassifier_1,1.983482918367081,1.0,0.0364935912049683,0.5705805704357898,1.7588095790905172,0.339532346873655
1,0.6154625742000869,RandomForestClassifier_1,2.118456920613956,0.9999638087655168,0.0268762092064626,0.5507456203851165,1.816304413269913,0.3569691324910234
2,0.6118430577674823,RandomForestClassifier_1,1.981615546436733,1.0,0.0529066951155646,0.5827421456493412,1.8242491272042909,0.3565059831160152
3,0.6173447227450413,RandomForestClassifier_1,2.099143793822668,1.0,0.0399268238869411,0.5736209642391776,1.8590043291181624,0.3697576137387051
4,0.6130246020260492,RandomForestClassifier_1,2.1073418944219084,1.0,0.0319805122688776,0.5648335745296672,1.8393701073338764,0.3586816524235471
0,0.6118430577674823,RPT_RandomForestClassifier_1,1.9705262173597964,0.9999638087655168,0.0451405269916024,0.5824525843347329,1.77623040105628,0.3490093352528235
1,0.6135804256551325,RPT_RandomForestClassifier_1,2.0408401812416006,1.0,0.0376863753314139,0.555812943390763,1.7939684164351517,0.3574134350511935
2,0.623425510351817,RPT_RandomForestClassifier_1,1.964945903752484,1.0,0.0407446721322047,0.5869407847111626,1.723688372741579,0.3402296000167821
3,0.6245837556102505,RPT_RandomForestClassifier_1,2.082068128593178,1.0,0.035657957415026,0.5799913131605617,1.7983465380640715,0.3628847900291235
4,0.6180897250361794,RPT_RandomForestClassifier_1,1.952511390305006,1.0,0.0262292279475927,0.5780028943560058,1.6761897688926433,0.3229452776022788
0,0.6098161285652237,Massage_RandomForestClassifier_1,2.0317318967865257,1.0,0.0475921868043659,0.5746344288403069,1.8523380041130744,0.3629131480134759
1,0.6202403358911249,Massage_RandomForestClassifier_1,2.14002637893355,1.0,0.0263544533392081,0.5626176342840596,1.8162132950812733,0.359553766643519
2,0.6182134066888664,Massage_RandomForestClassifier_1,2.05138636622588,1.0,0.0414888362483729,0.5760822354133488,1.8196826422755144,0.3572510631156556
3,0.619516432604604,Massage_RandomForestClassifier_1,2.1055137673383144,1.0,0.038376918573058,0.5828869263066454,1.85048034600222,0.3688830416395171
4,0.6140376266280753,Massage_RandomForestClassifier_1,2.113530350847199,1.0,0.0327488045261418,0.5701881331403763,1.8456462453787472,0.3595151797293253
0,0.6138699869697408,RandomForestClassifier_2,2.018744142455483,1.0,0.0399902832223835,0.5728970609526567,1.792233009708738,0.3536294691224269
1,0.6208194585203417,RandomForestClassifier_2,2.1832514390884707,1.0,0.0346395327482166,0.5442304908064283,1.8767534179427072,0.3787048525518874
2,0.6206746778630375,RandomForestClassifier_2,2.0387862343019663,1.0,0.0402236580290049,0.5859273201100333,1.794237092446677,0.3540680843539943
3,0.6198059939192124,RandomForestClassifier_2,2.085169583182505,1.0,0.0313942559947733,0.5807152164470827,1.80605246194616,0.3566760072576656
4,0.6192474674384949,RandomForestClassifier_2,2.101437411092073,1.0,0.0265199652860411,0.5793053545586108,1.7933538677284453,0.3511566299781642
0,0.6164760388012162,RPT_RandomForestClassifier_2,1.986536895511252,1.0,0.0404041351198607,0.581728681048212,1.7564196174722149,0.3474777007673013
