Fold,Validation Accuracy,Model,Validation Positive Parity,Training Accuracy,Validation Accuracy Parity,Validation Counterfactual Invariance,Validation Recall Parity,Validation TNR Parity
4,0.988011988011988,Decoupled_Classifier_0.5,1.443467790487658,0.990220661985958,0.0073002754820936,0.994005994005994,1.0061349693251531,0.0060975609756097
0,0.99197592778335,Decoupled_Classifier_0.7,1.3344847438111689,0.996993987975952,0.0138169257340241,1.0,1.0066889632107023,0.0066445182724252
1,0.9859578736208626,Decoupled_Classifier_0.7,1.3750095596027574,0.9902304609218436,0.015752272520115,0.9939819458375124,1.0135135135135136,0.0133333333333333
2,0.9849548645937812,Decoupled_Classifier_0.7,1.2871645206329507,0.9902304609218436,0.0131785456266659,1.0,1.0100180831826402,0.0098620382732532
3,0.9859578736208626,Decoupled_Classifier_0.7,1.3005050505050506,0.9902304609218436,0.0073852792299394,0.9989969909729188,1.0031645569620251,0.003154574132492
4,0.989010989010989,Decoupled_Classifier_0.7,1.4530909090909092,0.990220661985958,0.0098255280073461,0.995004995004995,1.0061349693251531,0.0060975609756097
0,0.99197592778335,RandomForestClassifier_0,1.3344847438111689,1.0,0.0138169257340241,1.0,1.0066889632107023,0.0066445182724252
1,0.9899699097291876,RandomForestClassifier_0,1.397479878611954,1.0,0.0130219338586853,1.0,1.0033444816053512,0.0033333333333332
2,0.9879638916750252,RandomForestClassifier_0,1.302535348610434,1.0,0.0121986663677204,0.9989969909729188,1.0036657681940702,0.0036315086782376
3,0.9849548645937812,RandomForestClassifier_0,1.2965034965034967,1.0,0.0090946809393411,1.0,1.0063492063492063,0.0063091482649841
4,0.988011988011988,RandomForestClassifier_0,1.4661818181818185,1.0,0.0114784205693295,1.0,1.003058103975535,0.0030487804878048
0,0.9929789368104311,RPT_RandomForestClassifier_0,1.33514368354246,1.0,0.0079703498029105,1.0,1.0,0.0
1,0.9859578736208626,RPT_RandomForestClassifier_0,1.4021479061738646,1.0,0.0074908229133002,1.0,1.0064935064935066,0.0064516129032258
2,0.9859578736208626,RPT_RandomForestClassifier_0,1.302535348610434,1.0,0.0156116356509968,1.0,1.006831906264083,0.0067467734757454
3,0.9859578736208626,RPT_RandomForestClassifier_0,1.2925019425019426,0.999749498997996,0.0073852792299394,1.0,1.0063492063492063,0.0063091482649841
4,0.991008991008991,RPT_RandomForestClassifier_0,1.461818181818182,1.0,0.0065197428833791,1.0,1.0,0.0
0,0.9869608826479438,Massage_RandomForestClassifier_0,1.3438416879955053,0.9095691382765532,0.0183330441034286,0.9979939819458375,1.0066889632107023,0.0066445182724252
1,0.9869608826479438,Massage_RandomForestClassifier_0,1.3973330382338296,1.0,0.0140370066539057,0.9989969909729188,1.003584229390681,0.0035483870967741
2,0.9869608826479438,Massage_RandomForestClassifier_0,1.2985275475377864,1.0,0.0139051510093586,1.0,1.006831906264083,0.0067467734757454
3,0.9879638916750252,Massage_RandomForestClassifier_0,1.303912087912088,1.0,0.008103061986557,1.0,1.0031645569620251,0.003154574132492
4,0.991008991008991,Massage_RandomForestClassifier_0,1.461818181818182,1.0,0.0065197428833791,1.0,1.0,0.0
0,0.9929789368104311,RandomForestClassifier_1,1.338860103626943,1.0,0.0120898100172711,1.0,1.0033333333333334,0.0033222591362126
1,0.9869608826479438,RandomForestClassifier_1,1.4111360337775434,1.0,0.018167731457313,0.995987963891675,1.0033444816053512,0.0033333333333332
2,0.9859578736208626,RandomForestClassifier_1,1.2911495501085946,1.0,0.0114720609850277,0.9989969909729188,1.006831906264083,0.0067467734757454
3,0.9859578736208626,RandomForestClassifier_1,1.2925019425019426,1.0,0.0073852792299394,0.9989969909729188,1.0063492063492063,0.0063091482649841
4,0.991008991008991,RandomForestClassifier_1,1.461818181818182,1.0,0.0065197428833791,1.0,1.0,0.0
0,0.9929789368104311,RPT_RandomForestClassifier_1,1.338860103626943,1.0,0.0120898100172711,1.0,1.0033333333333334,0.0033222591362126
1,0.9859578736208626,RPT_RandomForestClassifier_1,1.3977679831513126,1.0,0.0116215477167076,1.0,1.0,0.0
2,0.9839518555667,RPT_RandomForestClassifier_1,1.30708966801117,1.0,0.0148850302683042,1.0,1.0036657681940702,0.0036315086782376
3,0.9869608826479438,RPT_RandomForestClassifier_1,1.2965034965034967,1.0,0.0056758775205376,1.0,1.0031645569620251,0.003154574132492
4,0.989010989010989,RPT_RandomForestClassifier_1,1.461818181818182,1.0,0.0098255280073461,0.999000999000999,1.003058103975535,0.0030487804878048
0,0.99197592778335,Massage_RandomForestClassifier_1,1.3344847438111689,0.9115731462925852,0.0138169257340241,1.0,1.0066889632107023,0.0066445182724252
1,0.9889669007021064,Massage_RandomForestClassifier_1,1.4111360337775434,1.0,0.0147371997248945,1.0,1.0,0.0
2,0.9849548645937812,Massage_RandomForestClassifier_1,1.2871645206329507,1.0,0.0131785456266659,0.9989969909729188,1.0100180831826402,0.0098620382732532
3,0.9859578736208626,Massage_RandomForestClassifier_1,1.2925019425019426,1.0,0.0073852792299394,1.0,1.0063492063492063,0.0063091482649841
4,0.991008991008991,Massage_RandomForestClassifier_1,1.461818181818182,1.0,0.0065197428833791,1.0,1.0,0.0
0,0.9909729187562688,RandomForestClassifier_2,1.338860103626943,1.0,0.0155440414507772,0.9989969909729188,1.0066889632107023,0.0066445182724252
1,0.9859578736208626,RandomForestClassifier_2,1.4110772976262933,1.0,0.015752272520115,1.0,1.0002164970772895,0.0002150537634408
2,0.9879638916750252,RandomForestClassifier_2,1.302535348610434,1.0,0.0121986663677204,1.0,1.0036657681940702,0.0036315086782376
3,0.9869608826479438,RandomForestClassifier_2,1.2965034965034967,1.0,0.0056758775205376,1.0,1.0031645569620251,0.003154574132492
4,0.991008991008991,RandomForestClassifier_2,1.461818181818182,1.0,0.0065197428833791,1.0,1.0,0.0
0,0.9939819458375124,RPT_RandomForestClassifier_2,1.3344847438111689,1.0,0.0103626943005181,0.9989969909729188,1.0033333333333334,0.0033222591362126
1,0.9879638916750252,RPT_RandomForestClassifier_2,1.4065839820556802,1.0,0.0164524655911038,1.0,1.0033444816053512,0.0033333333333332
2,0.9879638916750252,RPT_RandomForestClassifier_2,1.302535348610434,1.0,0.0121986663677204,1.0,1.0036657681940702,0.0036315086782376
3,0.9859578736208626,RPT_RandomForestClassifier_2,1.2925019425019426,1.0,0.0073852792299394,1.0,1.0063492063492063,0.0063091482649841
4,0.991008991008991,RPT_RandomForestClassifier_2,1.461818181818182,1.0,0.0065197428833791,1.0,1.0,0.0
0,0.9899699097291876,Massage_RandomForestClassifier_2,1.3344847438111689,0.9108216432865732,0.0172711571675302,0.9989969909729188,1.0100671140939597,0.0099667774086378
1,0.9879638916750252,Massage_RandomForestClassifier_2,1.4065839820556802,1.0,0.0164524655911038,1.0,1.0033444816053512,0.0033333333333332
2,0.9839518555667,Massage_RandomForestClassifier_2,1.283179491157307,1.0,0.0148850302683042,0.9979939819458375,1.0132244897959184,0.012977303070761
3,0.9869608826479438,Massage_RandomForestClassifier_2,1.2965034965034967,1.0,0.0056758775205376,1.0,1.0031645569620251,0.003154574132492
4,0.991008991008991,Massage_RandomForestClassifier_2,1.461818181818182,1.0,0.0065197428833791,0.999000999000999,1.0,0.0
0,0.9909729187562688,XGBClassifier_3,1.338860103626943,1.0,0.0155440414507772,1.0,1.0066889632107023,0.0066445182724252
