,Fold,Epoch,Training Accuracy,Model
154,0,4,0.7903603749191984,Massage_MLPClassifier_7
155,0,0,0.7569893341952165,MLPClassifier_8
156,0,1,0.7930268261150614,MLPClassifier_8
157,0,2,0.7451115061409179,MLPClassifier_8
158,0,3,0.7866839043309631,MLPClassifier_8
159,0,4,0.24183904330963155,MLPClassifier_8
160,0,0,0.7653522947640594,RPT_MLPClassifier_8
161,0,1,0.2433338720103426,RPT_MLPClassifier_8
162,0,2,0.7908047834518422,RPT_MLPClassifier_8
163,0,3,0.2421622495151907,RPT_MLPClassifier_8
164,0,4,0.792420814479638,RPT_MLPClassifier_8
165,0,0,0.792784421460892,Massage_MLPClassifier_8
166,0,1,0.7845426632191338,Massage_MLPClassifier_8
167,0,2,0.7924612152553329,Massage_MLPClassifier_8
168,0,3,0.7741192630898514,Massage_MLPClassifier_8
169,0,4,0.7892291531997414,Massage_MLPClassifier_8
170,0,0,0.8060358758888171,MLPClassifier_9
171,0,1,0.8022382029734971,MLPClassifier_9
172,0,2,0.801510989010989,MLPClassifier_9
173,0,3,0.7992081447963801,MLPClassifier_9
174,0,4,0.8047834518422754,MLPClassifier_9
175,0,0,0.800783775048481,RPT_MLPClassifier_9
176,0,1,0.7932288299935358,RPT_MLPClassifier_9
177,0,2,0.8017937944408533,RPT_MLPClassifier_9
178,0,3,0.8038946347769877,RPT_MLPClassifier_9
179,0,4,0.7968648998060762,RPT_MLPClassifier_9
180,0,0,0.7992081447963801,Massage_MLPClassifier_9
181,0,1,0.795450872656755,Massage_MLPClassifier_9
182,0,2,0.8019957983193278,Massage_MLPClassifier_9
183,0,3,0.8014705882352942,Massage_MLPClassifier_9
184,0,4,0.8028846153846154,Massage_MLPClassifier_9
185,0,0,0.7966224951519069,MLPClassifier_10
186,0,1,0.7819570135746606,MLPClassifier_10
187,0,2,0.7928248222365869,MLPClassifier_10
188,0,3,0.24232385261797026,MLPClassifier_10
189,0,4,0.49042501616031026,MLPClassifier_10
190,0,0,0.7826034259857789,RPT_MLPClassifier_10
191,0,1,0.7908451842275371,RPT_MLPClassifier_10
192,0,2,0.7903603749191984,RPT_MLPClassifier_10
193,0,3,0.7717760180995475,RPT_MLPClassifier_10
194,0,4,0.7919764059469941,RPT_MLPClassifier_10
195,0,0,0.7909663865546218,Massage_MLPClassifier_10
196,0,1,0.7881787330316742,Massage_MLPClassifier_10
197,0,2,0.7911279896574014,Massage_MLPClassifier_10
198,0,3,0.24600032320620555,Massage_MLPClassifier_10
199,0,4,0.7930268261150614,Massage_MLPClassifier_10
